   Radius        Density      Pressure     
2.490000e+05  2.885029e+15  3.255599e+36
2.500000e+05  2.882929e+15  3.248496e+36
2.510000e+05  2.880823e+15  3.241380e+36
2.520000e+05  2.878710e+15  3.234253e+36
2.530000e+05  2.876591e+15  3.227115e+36
2.540000e+05  2.874465e+15  3.219965e+36
2.550000e+05  2.872332e+15  3.212805e+36
2.560000e+05  2.870194e+15  3.205633e+36
2.570000e+05  2.868048e+15  3.198451e+36
2.580000e+05  2.865897e+15  3.191258e+36
2.590000e+05  2.863739e+15  3.184054e+36
2.600000e+05  2.861574e+15  3.176840e+36
2.610000e+05  2.859404e+15  3.169616e+36
2.620000e+05  2.857226e+15  3.162382e+36
2.630000e+05  2.855043e+15  3.155137e+36
2.640000e+05  2.852853e+15  3.147883e+36
2.650000e+05  2.850657e+15  3.140620e+36
2.660000e+05  2.848455e+15  3.133347e+36
2.670000e+05  2.846247e+15  3.126064e+36
2.680000e+05  2.844032e+15  3.118773e+36
2.690000e+05  2.841811e+15  3.111472e+36
2.700000e+05  2.839584e+15  3.104163e+36
2.710000e+05  2.837351e+15  3.096844e+36
2.720000e+05  2.835111e+15  3.089517e+36
2.730000e+05  2.832866e+15  3.082182e+36
2.740000e+05  2.830614e+15  3.074838e+36
2.750000e+05  2.828356e+15  3.067486e+36
2.760000e+05  2.826092e+15  3.060126e+36
2.770000e+05  2.823823e+15  3.052759e+36
2.780000e+05  2.821547e+15  3.045383e+36
2.790000e+05  2.819264e+15  3.038000e+36
2.800000e+05  2.816976e+15  3.030609e+36
2.810000e+05  2.814682e+15  3.023211e+36
2.820000e+05  2.812382e+15  3.015806e+36
2.830000e+05  2.810076e+15  3.008393e+36
2.840000e+05  2.807764e+15  3.000974e+36
2.850000e+05  2.805446e+15  2.993548e+36
2.860000e+05  2.803123e+15  2.986116e+36
2.870000e+05  2.800793e+15  2.978676e+36
2.880000e+05  2.798457e+15  2.971231e+36
2.890000e+05  2.796116e+15  2.963779e+36
2.900000e+05  2.793769e+15  2.956321e+36
2.910000e+05  2.791416e+15  2.948857e+36
2.920000e+05  2.789057e+15  2.941388e+36
2.930000e+05  2.786692e+15  2.933913e+36
2.940000e+05  2.784321e+15  2.926432e+36
2.950000e+05  2.781945e+15  2.918945e+36
2.960000e+05  2.779563e+15  2.911454e+36
2.970000e+05  2.777175e+15  2.903957e+36
2.980000e+05  2.774782e+15  2.896456e+36
2.990000e+05  2.772383e+15  2.888949e+36
3.000000e+05  2.769978e+15  2.881438e+36
3.010000e+05  2.767568e+15  2.873922e+36
3.020000e+05  2.765151e+15  2.866402e+36
3.030000e+05  2.762730e+15  2.858877e+36
3.040000e+05  2.760302e+15  2.851348e+36
3.050000e+05  2.757869e+15  2.843815e+36
3.060000e+05  2.755431e+15  2.836278e+36
3.070000e+05  2.752987e+15  2.828737e+36
3.080000e+05  2.750537e+15  2.821193e+36
3.090000e+05  2.748082e+15  2.813645e+36
3.100000e+05  2.745621e+15  2.806093e+36
3.110000e+05  2.743155e+15  2.798538e+36
3.120000e+05  2.740683e+15  2.790981e+36
3.130000e+05  2.738206e+15  2.783420e+36
3.140000e+05  2.735723e+15  2.775856e+36
3.150000e+05  2.733235e+15  2.768289e+36
3.160000e+05  2.730742e+15  2.760720e+36
3.170000e+05  2.728243e+15  2.753148e+36
3.180000e+05  2.725739e+15  2.745573e+36
3.190000e+05  2.723229e+15  2.737997e+36
3.200000e+05  2.720714e+15  2.730418e+36
3.210000e+05  2.718194e+15  2.722837e+36
3.220000e+05  2.715668e+15  2.715254e+36
3.230000e+05  2.713138e+15  2.707670e+36
3.240000e+05  2.710601e+15  2.700084e+36
3.250000e+05  2.708060e+15  2.692496e+36
3.260000e+05  2.705513e+15  2.684907e+36
3.270000e+05  2.702961e+15  2.677316e+36
3.280000e+05  2.700404e+15  2.669724e+36
3.290000e+05  2.697841e+15  2.662132e+36
3.300000e+05  2.695274e+15  2.654538e+36
3.310000e+05  2.692701e+15  2.646943e+36
3.320000e+05  2.690123e+15  2.639348e+36
3.330000e+05  2.687540e+15  2.631752e+36
3.340000e+05  2.684952e+15  2.624156e+36
3.350000e+05  2.682358e+15  2.616559e+36
3.360000e+05  2.679760e+15  2.608962e+36
3.370000e+05  2.677156e+15  2.601365e+36
3.380000e+05  2.674547e+15  2.593768e+36
3.390000e+05  2.671934e+15  2.586171e+36
3.400000e+05  2.669315e+15  2.578574e+36
3.410000e+05  2.666691e+15  2.570978e+36
3.420000e+05  2.664062e+15  2.563382e+36
3.430000e+05  2.661428e+15  2.555787e+36
3.440000e+05  2.658789e+15  2.548192e+36
3.450000e+05  2.656146e+15  2.540598e+36
3.460000e+05  2.653497e+15  2.533005e+36
3.470000e+05  2.650843e+15  2.525413e+36
3.480000e+05  2.648185e+15  2.517822e+36
3.490000e+05  2.645521e+15  2.510232e+36
3.500000e+05  2.642852e+15  2.502644e+36
3.510000e+05  2.640179e+15  2.495057e+36
3.520000e+05  2.637501e+15  2.487472e+36
3.530000e+05  2.634818e+15  2.479888e+36
3.540000e+05  2.632130e+15  2.472306e+36
3.550000e+05  2.629437e+15  2.464726e+36
3.560000e+05  2.626739e+15  2.457148e+36
3.570000e+05  2.624037e+15  2.449572e+36
3.580000e+05  2.621330e+15  2.441998e+36
3.590000e+05  2.618618e+15  2.434426e+36
3.600000e+05  2.615901e+15  2.426857e+36
3.610000e+05  2.613180e+15  2.419291e+36
3.620000e+05  2.610453e+15  2.411727e+36
3.630000e+05  2.607722e+15  2.404166e+36
3.640000e+05  2.604987e+15  2.396607e+36
3.650000e+05  2.602246e+15  2.389052e+36
3.660000e+05  2.599501e+15  2.381499e+36
3.670000e+05  2.596752e+15  2.373950e+36
3.680000e+05  2.593997e+15  2.366404e+36
3.690000e+05  2.591238e+15  2.358861e+36
3.700000e+05  2.588475e+15  2.351322e+36
