t,Ixx,Ixy,Ixz,Iyx,Iyy,Iyz,Izx,Izy,Izz
4.020,    4.179941252584548e+44,    8.143610563643126e+34,   -7.437997265685094e+35,    8.143610563643126e+34,    4.179941332580514e+44,    9.735974173589128e+35,   -7.437997265685094e+35,    9.735974173589128e+35,    4.296236349461891e+44
4.030,    4.169523134095146e+44,    9.532782308832777e+34,   -7.262634647766478e+35,    9.532782308832777e+34,    4.169523214393827e+44,    9.370537526595161e+35,   -7.262634647766478e+35,    9.370537526595161e+35,    4.293271119981866e+44
4.040,    4.159118453767508e+44,    9.653848036053257e+34,   -7.672745084867299e+35,    9.653848036053257e+34,    4.159118534417132e+44,    9.711366188891722e+35,   -7.672745084867299e+35,    9.711366188891722e+35,    4.290344603738340e+44
4.050,    4.148732344103370e+44,    9.468434620194211e+34,   -7.462250194755500e+35,    9.468434620194211e+34,    4.148732425126702e+44,    9.350601719466491e+35,   -7.462250194755500e+35,    9.350601719466491e+35,    4.287459926713200e+44
4.060,    4.138362003657889e+44,    7.959105817891614e+34,   -7.337219930108322e+35,    7.959105817891614e+34,    4.138362084428268e+44,    9.703140190379912e+35,   -7.337219930108322e+35,    9.703140190379912e+35,    4.284615975621477e+44
4.070,    4.128012532713545e+44,    8.143195673078687e+34,   -7.529191117391403e+35,    8.143195673078687e+34,    4.128012613856615e+44,    9.207664563602347e+35,   -7.529191117391403e+35,    9.207664563602347e+35,    4.281812029250952e+44
4.080,    4.117678612278174e+44,    9.401126880934554e+34,   -7.334743747209726e+35,    9.401126880934554e+34,    4.117678693360662e+44,    9.372120194109515e+35,   -7.334743747209726e+35,    9.372120194109515e+35,    4.279044700612428e+44
4.090,    4.107364469009308e+44,    1.026874541038351e+35,   -7.154518602658569e+35,    1.026874541038351e+35,    4.107364550067807e+44,    9.178713928283785e+35,   -7.154518602658569e+35,    9.178713928283785e+35,    4.276312204106111e+44
4.100,    4.097074210066437e+44,    7.675998739665405e+34,   -7.422622295744074e+35,    7.675998739665405e+34,    4.097074292052058e+44,    9.358731774199424e+35,   -7.422622295744074e+35,    9.358731774199424e+35,    4.273612003467790e+44
4.110,    4.086806991071054e+44,    8.969615166680299e+34,   -7.191040075647254e+35,    8.969615166680299e+34,    4.086807073253417e+44,    9.284481498445418e+35,   -7.191040075647254e+35,    9.284481498445418e+35,    4.270940557856436e+44
4.120,    4.076564521407238e+44,    8.239364984088534e+34,   -7.241105815240094e+35,    8.239364984088534e+34,    4.076564603841496e+44,    8.965551068127817e+35,   -7.241105815240094e+35,    8.965551068127817e+35,    4.268295068435277e+44
4.130,    4.066348383644090e+44,    8.956993508130006e+34,   -6.911270443345870e+35,    8.956993508130006e+34,    4.066348466607399e+44,    9.321735771748735e+35,   -6.911270443345870e+35,    9.321735771748735e+35,    4.265672765009651e+44
4.140,    4.056159742178255e+44,    1.052956022574782e+35,   -6.921321309038582e+35,    1.052956022574782e+35,    4.056159825703120e+44,    9.004961013825300e+35,   -6.921321309038582e+35,    9.004961013825300e+35,    4.263071496367967e+44
4.150,    4.046004252604174e+44,    1.054084976934797e+35,   -6.896721088394356e+35,    1.054084976934797e+35,    4.046004336364461e+44,    8.771228285025066e+35,   -6.896721088394356e+35,    8.771228285025066e+35,    4.260490746888157e+44
4.160,    4.035877976395578e+44,    8.802297704932387e+34,   -6.714078056353692e+35,    8.802297704932387e+34,    4.035878060189347e+44,    8.759470886862366e+35,   -6.714078056353692e+35,    8.759470886862366e+35,    4.257928367666785e+44
4.170,    4.025780707321116e+44,    8.816465681472524e+34,   -6.873139170612031e+35,    8.816465681472524e+34,    4.025780791584453e+44,    8.664502304321020e+35,   -6.873139170612031e+35,    8.664502304321020e+35,    4.255384223506394e+44
4.180,    4.015719327027927e+44,    5.704732492970201e+34,   -6.719689904522047e+35,    5.704732492970201e+34,    4.015719411470765e+44,    8.287528260184831e+35,   -6.719689904522047e+35,    8.287528260184831e+35,    4.252862336188991e+44
4.190,    4.005682554710707e+44,    6.761174225357725e+34,   -6.840461000504951e+35,    6.761174225357725e+34,    4.005682639451723e+44,    8.331329789912366e+35,   -6.840461000504951e+35,    8.331329789912366e+35,    4.250363124114269e+44
4.200,    3.995679070248211e+44,    5.866710511949454e+34,   -6.623938577694203e+35,    5.866710511949454e+34,    3.995679156097752e+44,    8.167755200531798e+35,   -6.623938577694203e+35,    8.167755200531798e+35,    4.247889240111762e+44
4.210,    3.985705644506687e+44,    9.120865049274618e+34,   -6.600197141341966e+35,    9.120865049274618e+34,    3.985705730111179e+44,    8.147703748926334e+35,   -6.600197141341966e+35,    8.147703748926334e+35,    4.245436613194694e+44
4.220,    3.975768096709152e+44,    9.017639051955764e+34,   -6.259626826908561e+35,    9.017639051955764e+34,    3.975768182929297e+44,    8.184007442982038e+35,   -6.259626826908561e+35,    8.184007442982038e+35,    4.243000943467422e+44
4.230,    3.965868338998378e+44,    8.339167467649590e+34,   -6.358355493689425e+35,    8.339167467649590e+34,    3.965868425894318e+44,    8.033427232503009e+35,   -6.358355493689425e+35,    8.033427232503009e+35,    4.240577681517853e+44
4.240,    3.956006438664932e+44,    9.062287934910373e+34,   -6.166453388726281e+35,    9.062287934910373e+34,    3.956006525505282e+44,    7.769656549097083e+35,   -6.166453388726281e+35,    7.769656549097083e+35,    4.238162658826197e+44
4.250,    3.946187575207846e+44,    8.245022925520119e+34,   -6.098835980486003e+35,    8.245022925520119e+34,    3.946187662871362e+44,    7.532325220153570e+35,   -6.098835980486003e+35,    7.532325220153570e+35,    4.235754490671314e+44
4.260,    3.936412917521289e+44,    9.998724168523010e+34,   -6.285423444146552e+35,    9.998724168523010e+34,    3.936413005458864e+44,    7.714402259967249e+35,   -6.285423444146552e+35,    7.714402259967249e+35,    4.233351296130553e+44
4.270,    3.926682622126521e+44,    8.257017681998531e+34,   -5.961507486940529e+35,    8.257017681998531e+34,    3.926682709782744e+44,    7.561417060064787e+35,   -5.961507486940529e+35,    7.561417060064787e+35,    4.230950927881352e+44
4.280,    3.916997301740184e+44,    9.855011825862612e+34,   -6.155139964057914e+35,    9.855011825862612e+34,    3.916997389875186e+44,    7.658315621210380e+35,   -6.155139964057914e+35,    7.658315621210380e+35,    4.228551141172714e+44
4.290,    3.907358868392906e+44,    6.345841045727141e+34,   -5.819881639633688e+35,    6.345841045727141e+34,    3.907358956526431e+44,    7.599852429318380e+35,   -5.819881639633688e+35,    7.599852429318380e+35,    4.226150720832496e+44
4.300,    3.897768333748653e+44,    6.667927101454790e+34,   -5.976612318091245e+35,    6.667927101454790e+34,    3.897768422283527e+44,    7.070824479994449e+35,   -5.976612318091245e+35,    7.070824479994449e+35,    4.223749127577884e+44
4.310,    3.888225365413895e+44,    4.691389934010249e+34,   -5.973906999987557e+35,    4.691389934010249e+34,    3.888225454528441e+44,    7.261400963226832e+35,   -5.973906999987557e+35,    7.261400963226832e+35,    4.221345475280868e+44
4.320,    3.878728245303701e+44,    9.248768190854062e+34,   -5.916429733103941e+35,    9.248768190854062e+34,    3.878728334066762e+44,    7.293971648240286e+35,   -5.916429733103941e+35,    7.293971648240286e+35,    4.218935210279775e+44
4.330,    3.869255586837220e+44,    9.062857628010803e+34,   -5.972173519689167e+35,    9.062857628010803e+34,    3.869255676380179e+44,    7.203107377943412e+35,   -5.972173519689167e+35,    7.203107377943412e+35,    4.216476602136521e+44
4.340,    3.859808414421134e+44,    5.438365318271838e+34,   -5.785031256357426e+35,    5.438365318271838e+34,    3.859808504076425e+44,    7.181318916453612e+35,   -5.785031256357426e+35,    7.181318916453612e+35,    4.213976044853122e+44
4.350,    3.850404020203105e+44,    2.725616629545248e+34,   -5.766959098099787e+35,    2.725616629545248e+34,    3.850404109782019e+44,    6.958604257706115e+35,   -5.766959098099787e+35,    6.958604257706115e+35,    4.211453653070170e+44
4.360,    3.841046302183391e+44,    8.045747590691767e+34,   -5.633654655110703e+35,    8.045747590691767e+34,    3.841046391917707e+44,    6.915096859430742e+35,   -5.633654655110703e+35,    6.915096859430742e+35,    4.208917241962248e+44
4.370,    3.831734754925889e+44,    5.095739921198905e+34,   -5.554423298679882e+35,    5.095739921198905e+34,    3.831734844754056e+44,    6.757785675944652e+35,   -5.554423298679882e+35,    6.757785675944652e+35,    4.206366009906610e+44
4.380,    3.822479053550281e+44,    6.481588634436255e+34,   -5.523812995848639e+35,    6.481588634436255e+34,    3.822479144161689e+44,    6.789067453014257e+35,   -5.523812995848639e+35,    6.789067453014257e+35,    4.203798690044316e+44
4.390,    3.813275500238283e+44,    6.009583459180237e+34,   -5.496294276588460e+35,    6.009583459180237e+34,    3.813275591220132e+44,    6.737994946715229e+35,   -5.496294276588460e+35,    6.737994946715229e+35,    4.201210468053162e+44
4.400,    3.804125799893194e+44,    7.282474380722726e+34,   -5.594544839214056e+35,    7.282474380722726e+34,    3.804125890082181e+44,    6.562488833992592e+35,   -5.594544839214056e+35,    6.562488833992592e+35,    4.198598365412199e+44
4.410,    3.795029474955165e+44,    5.170431525081194e+34,   -5.523410908758971e+35,    5.170431525081194e+34,    3.795029566171389e+44,    6.510049058091012e+35,   -5.523410908758971e+35,    6.510049058091012e+35,    4.195958951492803e+44
4.420,    3.785987446358491e+44,    3.620690021601309e+34,   -5.510671200769146e+35,    3.620690021601309e+34,    3.785987537094507e+44,    6.562664075208122e+35,   -5.510671200769146e+35,    6.562664075208122e+35,    4.193289397454850e+44
4.430,    3.777000298032854e+44,    9.439137755878154e+34,   -5.476778749765154e+35,    9.439137755878154e+34,    3.777000389393799e+44,    6.595981766014527e+35,   -5.476778749765154e+35,    6.595981766014527e+35,    4.190587268913002e+44
4.440,    3.768068038481048e+44,    6.381363713780877e+34,   -5.285454753316894e+35,    6.381363713780877e+34,    3.768068129758824e+44,    6.676183216078377e+35,   -5.285454753316894e+35,    6.676183216078377e+35,    4.187850728565034e+44
4.450,    3.759190975337157e+44,    7.523103991534895e+34,   -5.146223138197632e+35,    7.523103991534895e+34,    3.759191067379361e+44,    6.365447087288928e+35,   -5.146223138197632e+35,    6.365447087288928e+35,    4.185078267601826e+44
4.460,    3.750368430828537e+44,    8.588144903121247e+34,   -5.295658489531894e+35,    8.588144903121247e+34,    3.750368522955061e+44,    6.414419904724365e+35,   -5.295658489531894e+35,    6.414419904724365e+35,    4.182268378387590e+44
4.470,    3.741604323665419e+44,    4.743674492777357e+34,   -5.208824956563645e+35,    4.743674492777357e+34,    3.741604416368797e+44,    6.195782986639274e+35,   -5.208824956563645e+35,    6.195782986639274e+35,    4.179422146243253e+44
4.480,    3.732896505028936e+44,    8.094120038095354e+34,   -5.185062835619798e+35,    8.094120038095354e+34,    3.732896597128439e+44,    6.262516268235780e+35,   -5.185062835619798e+35,    6.262516268235780e+35,    4.176539668637480e+44
