              t                       Ixx                      Iyy                      Izz           
    2.549991170058108e+00     5.749936135603475e+44     5.749936270214460e+44     5.416231533187610e+44
    2.559992263235470e+00     5.739067020990483e+44     5.739067156177430e+44     5.403570552918098e+44
    2.569994205064735e+00     5.728198678306485e+44     5.728198812716585e+44     5.390987790978881e+44
    2.579998307190924e+00     5.717335916130188e+44     5.717336050615168e+44     5.378489118437296e+44
    2.589995638287736e+00     5.706493510245303e+44     5.706493644128200e+44     5.366091618222064e+44
    2.599997699282312e+00     5.695660914396626e+44     5.695661048402536e+44     5.353784980966499e+44
    2.609998936069006e+00     5.684840135114694e+44     5.684840268692319e+44     5.341576989414688e+44
    2.619991726652464e+00     5.674039014987669e+44     5.674039148164777e+44     5.329477340810852e+44
    2.629996352308398e+00     5.663233015184303e+44     5.663233148131833e+44     5.317460481823546e+44
    2.639993536499609e+00     5.652439674341475e+44     5.652439808100192e+44     5.305547751766575e+44
    2.649993708018482e+00     5.641648892429178e+44     5.641649025120006e+44     5.293726218890174e+44
    2.659997494070820e+00     5.630860168141903e+44     5.630860301413705e+44     5.281994173233597e+44
    2.669996383085007e+00     5.620080080992332e+44     5.620080212726179e+44     5.270359354260233e+44
    2.679991559896879e+00     5.609307380427298e+44     5.609307511942559e+44     5.258819749369347e+44
    2.689993450223125e+00     5.598530545080287e+44     5.598530676663740e+44     5.247362631332629e+44
    2.699993476427529e+00     5.587756518091523e+44     5.587756649536836e+44     5.235995807407723e+44
    2.709992465600527e+00     5.576982081727326e+44     5.576982212451874e+44     5.224714978488035e+44
    2.719996825998353e+00     5.566196502544890e+44     5.566196633964431e+44     5.213507817376609e+44
    2.729998237761675e+00     5.555402882075404e+44     5.555403013062717e+44     5.202376951402913e+44
    2.739994262557611e+00     5.544600306547711e+44     5.544600437086946e+44     5.191320361475014e+44
    2.749997828944402e+00     5.533772074776456e+44     5.533772204859411e+44     5.180320546686548e+44
    2.759999495654621e+00     5.522925383027167e+44     5.522925512826781e+44     5.169385025326330e+44
    2.769999143014942e+00     5.512057814054086e+44     5.512057944205867e+44     5.158510958886638e+44
    2.779996903684147e+00     5.501166985930468e+44     5.501167115096955e+44     5.147695059154549e+44
    2.789999786667826e+00     5.490243115743016e+44     5.490243245018034e+44     5.136926497861896e+44
    2.799996314411700e+00     5.479296318311156e+44     5.479296446806904e+44     5.126213836357175e+44
    2.809996825448243e+00     5.468313259144721e+44     5.468313386932751e+44     5.115543023733805e+44
    2.819999981370776e+00     5.457293825755035e+44     5.457293953899550e+44     5.104913042271005e+44
