t,BTotal_v_avg
3.080,     4.090907892415482e+17
3.090,     4.085093059986117e+17
3.100,     4.079222434899203e+17
3.110,     4.073291751638962e+17
3.120,     4.067303519061632e+17
3.130,     4.061256839788931e+17
3.140,     4.055147310380730e+17
3.150,     4.048973845986880e+17
3.160,     4.042738776818270e+17
3.170,     4.036441023679173e+17
3.180,     4.030076163357873e+17
3.190,     4.023646531398981e+17
3.200,     4.017151305597535e+17
3.210,     4.010589810045112e+17
3.220,     4.003958249892221e+17
3.230,     3.997259700597845e+17
3.240,     3.990494180569843e+17
3.250,     3.983658634342884e+17
3.260,     3.976753438870013e+17
3.270,     3.969782432745222e+17
3.280,     3.962742900066754e+17
3.290,     3.955639519489093e+17
3.300,     3.948471925090241e+17
3.310,     3.941251363672505e+17
3.320,     3.933971019131180e+17
3.330,     3.926635401045272e+17
3.340,     3.919246405350244e+17
3.350,     3.911803124127318e+17
3.360,     3.904308219331832e+17
3.370,     3.896766771079571e+17
3.380,     3.889173342974482e+17
3.390,     3.881535257050562e+17
3.400,     3.873852744680385e+17
3.410,     3.866130779833939e+17
3.420,     3.858371825166845e+17
3.430,     3.850581702847228e+17
3.440,     3.842764914327814e+17
3.450,     3.834924529080066e+17
3.460,     3.827073715770371e+17
3.470,     3.819214340567898e+17
3.480,     3.811365385724034e+17
3.490,     3.803536277784472e+17
3.500,     3.795750479437649e+17
3.510,     3.788035644096393e+17
3.520,     3.780431364675469e+17
3.530,     3.772995415638646e+17
3.540,     3.765841162304241e+17
3.550,     3.759188837751809e+17
3.560,     3.753360912746376e+17
3.570,     3.748624694132918e+17
3.580,     3.744532473298584e+17
3.590,     3.740310401278070e+17
3.600,     3.735278792933836e+17
3.610,     3.728623918278550e+17
3.620,     3.720680829326337e+17
3.630,     3.711807619907003e+17
3.640,     3.702439792544479e+17
3.650,     3.692848002683887e+17
3.660,     3.683137446763644e+17
3.670,     3.673333148053624e+17
3.680,     3.663431084497089e+17
3.690,     3.653447733784949e+17
3.700,     3.643373463563550e+17
3.710,     3.633213451016552e+17
3.720,     3.622964740515290e+17
3.730,     3.612640999557306e+17
3.740,     3.602265944159096e+17
3.750,     3.591847977176734e+17
3.760,     3.581381416352881e+17
3.770,     3.570863276065083e+17
3.780,     3.560294260731564e+17
3.790,     3.549671012022102e+17
3.800,     3.538996247866950e+17
3.810,     3.528279925540359e+17
3.820,     3.517520762418924e+17
3.830,     3.506718652943030e+17
3.840,     3.495882041303189e+17
3.850,     3.485003035975067e+17
3.860,     3.474087238882929e+17
3.870,     3.463132677602682e+17
3.880,     3.452144193808932e+17
3.890,     3.441124571381587e+17
3.900,     3.430074927039193e+17
3.910,     3.418995893310164e+17
3.920,     3.407895381059283e+17
3.930,     3.396773081737505e+17
3.940,     3.385632092318373e+17
3.950,     3.374475446602651e+17
3.960,     3.363300006322855e+17
3.970,     3.352115791413238e+17
3.980,     3.340912303399107e+17
3.990,     3.329697442134547e+17
4.000,     3.318463154630794e+17
4.010,     3.307212065509928e+17
4.020,     3.295937617817505e+17
4.030,     3.284646561104990e+17
4.040,     3.273329927934100e+17
4.050,     3.261995481640060e+17
4.060,     3.250642105471190e+17
4.070,     3.239275890803104e+17
4.080,     3.227892453042262e+17
4.090,     3.216495690656155e+17
4.100,     3.205089769632420e+17
4.110,     3.193671413024582e+17
4.120,     3.182240885053213e+17
4.130,     3.170796958129292e+17
4.140,     3.159339187985288e+17
4.150,     3.147872676538530e+17
4.160,     3.136393152621101e+17
4.170,     3.124900799318369e+17
4.180,     3.113404393487083e+17
4.190,     3.101894429986849e+17
4.200,     3.090382197892582e+17
4.210,     3.078862218689381e+17
4.220,     3.067339247899330e+17
4.230,     3.055813405061007e+17
4.240,     3.044283234244969e+17
4.250,     3.032753476494020e+17
4.260,     3.021223957723647e+17
4.270,     3.009694261914218e+17
4.280,     2.998163142692353e+17
4.290,     2.986631492149560e+17
4.300,     2.975100139498982e+17
4.310,     2.963568500358263e+17
4.320,     2.952035991106567e+17
4.330,     2.940498215727027e+17
4.340,     2.928953008991603e+17
4.350,     2.917411570184824e+17
4.360,     2.905872156488957e+17
4.370,     2.894329902163622e+17
4.380,     2.882794631279226e+17
4.390,     2.871262427761589e+17
4.400,     2.859739190350848e+17
4.410,     2.848229051357534e+17
4.420,     2.836736977497204e+17
4.430,     2.825264574822088e+17
4.440,     2.813811171076545e+17
4.450,     2.802378171639236e+17
4.460,     2.790964772576646e+17
4.470,     2.779574403831113e+17
4.480,     2.768202071842215e+17
4.490,     2.756848836110922e+17
4.500,     2.745511814546890e+17
4.510,     2.734188104778858e+17
4.520,     2.722888400709181e+17
4.530,     2.711606495542535e+17
4.540,     2.700348411010673e+17
4.550,     2.689109987264126e+17
4.560,     2.677903492498148e+17
4.570,     2.666723906790331e+17
4.580,     2.655572534041807e+17
4.590,     2.644455819568783e+17
4.600,     2.633377491033742e+17
4.610,     2.622336646050048e+17
4.620,     2.611338778750642e+17
4.630,     2.600376384720931e+17
4.640,     2.589458915309602e+17
4.650,     2.578588997754496e+17
4.660,     2.567759088376375e+17
4.670,     2.556972407509858e+17
4.680,     2.546233173902043e+17
4.690,     2.535539950510835e+17
4.700,     2.524902962156563e+17
4.710,     2.514316369633238e+17
4.720,     2.503796341048283e+17
4.730,     2.493333501994472e+17
4.740,     2.482938945043228e+17
4.750,     2.472611128883985e+17
4.760,     2.462356683881221e+17
4.770,     2.452175175747081e+17
4.780,     2.442068473781225e+17
4.790,     2.432041563670125e+17
4.800,     2.422087597967416e+17
4.810,     2.412216849414026e+17
4.820,     2.402427904388504e+17
4.830,     2.392726551427222e+17
4.840,     2.383108339507149e+17
4.850,     2.373581643743483e+17
4.860,     2.364141650409011e+17
4.870,     2.354796770254947e+17
4.880,     2.345542051741104e+17
4.890,     2.336387341524939e+17
4.900,     2.327332993576762e+17
4.910,     2.318385469864212e+17
4.920,     2.309544083923153e+17
4.930,     2.300820259188686e+17
4.940,     2.292209557482586e+17
4.950,     2.283716584199918e+17
4.960,     2.275352916387729e+17
4.970,     2.267115156849308e+17
4.980,     2.259009844065620e+17
4.990,     2.251036509424837e+17
5.000,     2.243201317078701e+17
5.010,     2.235508604299152e+17
5.020,     2.227956665587844e+17
5.030,     2.220552282248729e+17
5.040,     2.213298563489165e+17
5.050,     2.206198047198309e+17
5.060,     2.199250217506618e+17
5.070,     2.192463338167509e+17
5.080,     2.185832573820596e+17
5.090,     2.179367059006853e+17
5.100,     2.173064419760907e+17
5.110,     2.166926176005676e+17
5.120,     2.160953762797459e+17
5.130,     2.155153339262558e+17
5.140,     2.149520374045398e+17
5.150,     2.144057918009050e+17
5.160,     2.138767358909965e+17
5.170,     2.133647882491492e+17
5.180,     2.128700150193932e+17
5.190,     2.123928658564634e+17
5.200,     2.119329645215618e+17
5.210,     2.114907071558058e+17
5.220,     2.110657068940313e+17
5.230,     2.106582119828442e+17
5.240,     2.102677844580927e+17
5.250,     2.098945329256315e+17
5.260,     2.095378947660752e+17
5.270,     2.091981114176174e+17
5.280,     2.088745022954165e+17
5.290,     2.085670595603973e+17
5.300,     2.082755719424374e+17
5.310,     2.079998688094642e+17
5.320,     2.077400253193068e+17
5.330,     2.074956634615267e+17
5.340,     2.072668338133182e+17
5.350,     2.070533751018618e+17
5.360,     2.068551704202844e+17
5.400,     2.062145377424043e+17
5.450,     2.057457926015557e+17
5.500,     2.056354304402065e+17
5.550,     2.058665431714085e+17
5.600,     2.064385114720705e+17
5.650,     2.073677955736501e+17
5.700,     2.086569604044210e+17
5.750,     2.102831481209371e+17
5.800,     2.122318674632342e+17
5.850,     2.144862552912136e+17
5.900,     2.170107614028500e+17
5.950,     2.197646504184850e+17
6.000,     2.227033582180226e+17
6.050,     2.257926640032787e+17
6.100,     2.289922442802576e+17
6.150,     2.322550490320854e+17
6.200,     2.355305674150008e+17
6.250,     2.387499548126574e+17
6.300,     2.418515450676858e+17
6.350,     2.447851282236737e+17
6.400,     2.475597128126156e+17
6.450,     2.502202034052593e+17
6.500,     2.528128599503540e+17
6.550,     2.553675848014572e+17
6.600,     2.578843708330310e+17
6.650,     2.603425514522344e+17
6.700,     2.627064714153203e+17
6.750,     2.649371944581223e+17
6.800,     2.670197824475328e+17
6.850,     2.689505119086916e+17
6.900,     2.707352836081645e+17
6.950,     2.723857924281193e+17
7.000,     2.738891605310544e+17
7.050,     2.752223800100027e+17
7.100,     2.763814664870153e+17
7.150,     2.773674376554784e+17
7.200,     2.781758339481248e+17
7.250,     2.788250739401214e+17
7.300,     2.793329507577303e+17
7.350,     2.797110665573236e+17
7.400,     2.799821529995615e+17
7.450,     2.801534256812327e+17
7.500,     2.802360452467463e+17
7.550,     2.802094305390553e+17
