t,BToroidal_v_avg
2.090,     3.755262125452799e+17
2.100,     3.753019264395936e+17
2.110,     3.750747945448323e+17
2.120,     3.748452784772138e+17
2.130,     3.746145801680312e+17
2.140,     3.743820710398437e+17
2.150,     3.741489157451239e+17
2.160,     3.739154849541319e+17
2.170,     3.736817452830146e+17
2.180,     3.734480043412611e+17
2.190,     3.732145481266220e+17
2.200,     3.729816429978644e+17
2.210,     3.727491785289052e+17
2.220,     3.725180180698712e+17
2.230,     3.722876093309453e+17
2.240,     3.720580472563146e+17
2.250,     3.718294158605146e+17
2.260,     3.716020899260420e+17
2.270,     3.713754543832658e+17
2.280,     3.711501229852537e+17
2.290,     3.709254045144733e+17
2.300,     3.707012237953031e+17
2.310,     3.704778114976746e+17
2.320,     3.702550694835629e+17
2.330,     3.700325897633956e+17
2.340,     3.698102196644383e+17
2.350,     3.695877928598091e+17
2.360,     3.693651595930054e+17
2.370,     3.691421858085853e+17
2.380,     3.689189969903601e+17
2.390,     3.686948596143952e+17
2.400,     3.684698821561720e+17
2.410,     3.682439416261825e+17
2.420,     3.680167496882735e+17
2.430,     3.677884601111476e+17
2.440,     3.675586670509636e+17
2.450,     3.673269715641183e+17
2.460,     3.670937911856398e+17
2.470,     3.668587457603699e+17
2.480,     3.666219959025039e+17
2.490,     3.663829011312389e+17
2.500,     3.661418899771548e+17
2.510,     3.658988602074476e+17
2.520,     3.656534523926186e+17
2.530,     3.654055818901288e+17
2.540,     3.651556948004382e+17
2.550,     3.649031742668178e+17
2.560,     3.646482085581582e+17
2.570,     3.643907212036525e+17
2.580,     3.641306370527370e+17
2.590,     3.638681500316269e+17
2.600,     3.636029210090705e+17
2.610,     3.633350601259548e+17
2.620,     3.630647364983180e+17
2.630,     3.627913653361465e+17
2.640,     3.625154325218008e+17
2.650,     3.622366157956657e+17
2.660,     3.619548549235902e+17
2.670,     3.616703525110793e+17
2.680,     3.613830327864753e+17
2.690,     3.610925486851551e+17
2.700,     3.607990927334571e+17
2.710,     3.605025804487378e+17
2.720,     3.602027513463048e+17
2.730,     3.598997809275651e+17
2.740,     3.595936706755802e+17
2.750,     3.592839432202913e+17
2.760,     3.589707972378470e+17
2.770,     3.586541415660483e+17
2.780,     3.583338747188438e+17
2.790,     3.580096564896424e+17
2.800,     3.576817434588003e+17
2.810,     3.573496711978308e+17
2.820,     3.570133520082179e+17
2.830,     3.566729476108000e+17
2.840,     3.563280365280224e+17
2.850,     3.559784526935277e+17
2.860,     3.556243003876496e+17
2.870,     3.552648388643258e+17
2.880,     3.549007322777108e+17
2.890,     3.545312492273645e+17
2.900,     3.541561794888794e+17
2.910,     3.537756755387921e+17
2.920,     3.533892934675219e+17
2.930,     3.529968540338570e+17
2.940,     3.525981708258325e+17
2.950,     3.521933440435801e+17
2.960,     3.517819068601955e+17
2.970,     3.513636763849380e+17
2.980,     3.509384665272481e+17
2.990,     3.505060993686774e+17
3.000,     3.500666871262940e+17
3.010,     3.496194874987887e+17
3.020,     3.491646285135572e+17
3.030,     3.487019522426765e+17
3.040,     3.482310132455116e+17
3.050,     3.477519625360628e+17
3.060,     3.472643728661185e+17
3.070,     3.467681114919841e+17
3.080,     3.462633446220305e+17
3.090,     3.457493405243322e+17
3.100,     3.452262495274335e+17
3.110,     3.446936113312399e+17
3.120,     3.441515738146638e+17
3.130,     3.435999809408355e+17
3.140,     3.430383519073929e+17
3.150,     3.424665041448756e+17
3.160,     3.418845784557853e+17
3.170,     3.412924093133998e+17
3.180,     3.406895041247663e+17
3.190,     3.400760008659853e+17
3.200,     3.394517421934088e+17
3.210,     3.388165807132742e+17
3.220,     3.381700580873997e+17
3.230,     3.375123798121344e+17
3.240,     3.368434513139437e+17
3.250,     3.361628720963622e+17
3.260,     3.354705835495906e+17
3.270,     3.347668741569181e+17
3.280,     3.340513662272714e+17
