t,BPoloidal_v_avg
3.760,     2.162054567857669e+17
3.770,     2.161552701660000e+17
3.780,     2.161069911559770e+17
3.790,     2.160599916453932e+17
3.800,     2.160146646460959e+17
3.810,     2.159716132565160e+17
3.820,     2.159309709512841e+17
3.830,     2.158924517396341e+17
3.840,     2.158560073424332e+17
3.850,     2.158214857615121e+17
3.860,     2.157886344529753e+17
3.870,     2.157573901832140e+17
3.880,     2.157277021200098e+17
3.890,     2.156997604087025e+17
3.900,     2.156734893303700e+17
3.910,     2.156489882128136e+17
3.920,     2.156264282291003e+17
3.930,     2.156059172454899e+17
3.940,     2.155874819624807e+17
3.950,     2.155710875120037e+17
3.960,     2.155567152333917e+17
3.970,     2.155442011732229e+17
3.980,     2.155331072295781e+17
3.990,     2.155228961527523e+17
4.000,     2.155129416043032e+17
4.010,     2.155024954317153e+17
4.020,     2.154909961609190e+17
4.030,     2.154780717695582e+17
4.040,     2.154634039450254e+17
4.050,     2.154468924967410e+17
4.060,     2.154284658940307e+17
4.070,     2.154081175967868e+17
4.080,     2.153859262200136e+17
4.090,     2.153617167744146e+17
4.100,     2.153355195582630e+17
4.110,     2.153070299264187e+17
4.120,     2.152760566707730e+17
4.130,     2.152422920384253e+17
4.140,     2.152055490743357e+17
4.150,     2.151657004156698e+17
4.160,     2.151227444854385e+17
4.170,     2.150766915179511e+17
4.180,     2.150274810819155e+17
4.190,     2.149752587613183e+17
4.200,     2.149201622417763e+17
4.210,     2.148621678713906e+17
4.220,     2.148014247497144e+17
4.230,     2.147379923170417e+17
4.240,     2.146719581779756e+17
4.250,     2.146033607313313e+17
4.260,     2.145321148903377e+17
4.270,     2.144582437421850e+17
4.280,     2.143816204082873e+17
4.290,     2.143021415203448e+17
4.300,     2.142197728893402e+17
4.310,     2.141344805182460e+17
4.320,     2.140462818979012e+17
4.330,     2.139551790870282e+17
4.340,     2.138611740428018e+17
4.350,     2.137644652293005e+17
4.360,     2.136651762689728e+17
4.370,     2.135633922860950e+17
4.380,     2.134593505662201e+17
4.390,     2.133532315311296e+17
4.400,     2.132455202751256e+17
4.410,     2.131367285282486e+17
4.420,     2.130272382748934e+17
4.430,     2.129170236587157e+17
4.440,     2.128058716927874e+17
4.450,     2.126938697443940e+17
4.460,     2.125810532921324e+17
4.470,     2.124672787208450e+17
4.480,     2.123522362857672e+17
4.490,     2.122358031958889e+17
4.500,     2.121177667140453e+17
4.510,     2.119979998849082e+17
4.520,     2.118766581754403e+17
4.530,     2.117536225500646e+17
4.540,     2.116290747485376e+17
4.550,     2.115030307525610e+17
4.560,     2.113756163733927e+17
4.570,     2.112468442060336e+17
4.580,     2.111167444697917e+17
4.590,     2.109853697765704e+17
4.600,     2.108527323191847e+17
4.610,     2.107186311741679e+17
4.620,     2.105829909941219e+17
4.630,     2.104454007112461e+17
4.640,     2.103056501313496e+17
4.650,     2.101634882897668e+17
4.660,     2.100185259125515e+17
4.670,     2.098704582716636e+17
4.680,     2.097192228151982e+17
4.690,     2.095647109233274e+17
4.700,     2.094072716779680e+17
4.710,     2.092470506529278e+17
4.720,     2.090844604467179e+17
4.730,     2.089194132108770e+17
4.740,     2.087521218983354e+17
4.750,     2.085825721364382e+17
4.760,     2.084108647523202e+17
4.770,     2.082370523928976e+17
4.780,     2.080610526533615e+17
4.790,     2.078828005940433e+17
4.800,     2.077020811329463e+17
4.810,     2.075191344293815e+17
4.820,     2.073340393697454e+17
4.830,     2.071469717062545e+17
4.840,     2.069579743272539e+17
4.850,     2.067670950142351e+17
4.860,     2.065740063769937e+17
4.870,     2.063788626133965e+17
4.880,     2.061817385484510e+17
4.890,     2.059829870815151e+17
4.900,     2.057827561692625e+17
4.910,     2.055812225310979e+17
4.920,     2.053784388857518e+17
4.930,     2.051748451159411e+17
4.940,     2.049703426936704e+17
4.950,     2.047651676905428e+17
4.960,     2.045597317629867e+17
4.970,     2.043539948737539e+17
4.980,     2.041481445053568e+17
4.990,     2.039421886308839e+17
